file_name,subject_ID
RRBS_cpgMethylation_EWS_L10.bed,EWS_L10
RRBS_cpgMethylation_EWS_L11.bed,EWS_L11
RRBS_cpgMethylation_EWS_L12.bed,EWS_L12
RRBS_cpgMethylation_EWS_L13.bed,EWS_L13
RRBS_cpgMethylation_EWS_L14.bed,EWS_L14
RRBS_cpgMethylation_EWS_L15.bed,EWS_L15
RRBS_cpgMethylation_EWS_L16.bed,EWS_L16
RRBS_cpgMethylation_EWS_L17.bed,EWS_L17
RRBS_cpgMethylation_EWS_L2.bed,EWS_L2
RRBS_cpgMethylation_EWS_L3.bed,EWS_L3
RRBS_cpgMethylation_EWS_L4.bed,EWS_L4
RRBS_cpgMethylation_EWS_L5.bed,EWS_L5
RRBS_cpgMethylation_EWS_L6.bed,EWS_L6
RRBS_cpgMethylation_EWS_L7.bed,EWS_L7
RRBS_cpgMethylation_EWS_L8.bed,EWS_L8
RRBS_cpgMethylation_EWS_L9.bed,EWS_L9
RRBS_cpgMethylation_EWS_T1.bed,EWS_T1
RRBS_cpgMethylation_EWS_T10.bed,EWS_T10
RRBS_cpgMethylation_EWS_T100.bed,EWS_T100
RRBS_cpgMethylation_EWS_T101.bed,EWS_T101
RRBS_cpgMethylation_EWS_T102.bed,EWS_T102
RRBS_cpgMethylation_EWS_T103.bed,EWS_T103
RRBS_cpgMethylation_EWS_T104.bed,EWS_T104
RRBS_cpgMethylation_EWS_T105.bed,EWS_T105
RRBS_cpgMethylation_EWS_T106.bed,EWS_T106
RRBS_cpgMethylation_EWS_T107.bed,EWS_T107
RRBS_cpgMethylation_EWS_T108.bed,EWS_T108
RRBS_cpgMethylation_EWS_T109.bed,EWS_T109
RRBS_cpgMethylation_EWS_T11.bed,EWS_T11
RRBS_cpgMethylation_EWS_T110.bed,EWS_T110
RRBS_cpgMethylation_EWS_T111.bed,EWS_T111
RRBS_cpgMethylation_EWS_T112.bed,EWS_T112
RRBS_cpgMethylation_EWS_T113.bed,EWS_T113
RRBS_cpgMethylation_EWS_T114.bed,EWS_T114
RRBS_cpgMethylation_EWS_T115.bed,EWS_T115
RRBS_cpgMethylation_EWS_T116.bed,EWS_T116
RRBS_cpgMethylation_EWS_T117.bed,EWS_T117
RRBS_cpgMethylation_EWS_T118.bed,EWS_T118
RRBS_cpgMethylation_EWS_T119.bed,EWS_T119
RRBS_cpgMethylation_EWS_T12.bed,EWS_T12
RRBS_cpgMethylation_EWS_T120.bed,EWS_T120
RRBS_cpgMethylation_EWS_T121.bed,EWS_T121
RRBS_cpgMethylation_EWS_T122.bed,EWS_T122
RRBS_cpgMethylation_EWS_T123.bed,EWS_T123
RRBS_cpgMethylation_EWS_T124.bed,EWS_T124
RRBS_cpgMethylation_EWS_T125.bed,EWS_T125
RRBS_cpgMethylation_EWS_T126.bed,EWS_T126
RRBS_cpgMethylation_EWS_T127.bed,EWS_T127
RRBS_cpgMethylation_EWS_T129.bed,EWS_T129
RRBS_cpgMethylation_EWS_T13.bed,EWS_T13
RRBS_cpgMethylation_EWS_T130.bed,EWS_T130
RRBS_cpgMethylation_EWS_T131.bed,EWS_T131
RRBS_cpgMethylation_EWS_T132.bed,EWS_T132
RRBS_cpgMethylation_EWS_T133.bed,EWS_T133
RRBS_cpgMethylation_EWS_T134.bed,EWS_T134
RRBS_cpgMethylation_EWS_T135.bed,EWS_T135
RRBS_cpgMethylation_EWS_T136.bed,EWS_T136
RRBS_cpgMethylation_EWS_T137.bed,EWS_T137
